accsym,syn,sym,taxon
ASLY,,ASLY,Astragalus lyallii
ASCA12,ASLYC,ASLYC,Astragalus lyallii var. caricinus
ASFI,ASMA11,ASMA11,Astragalus macgregorii
ASROM,ASMA12,ASMA12,Astragalus macounii
ASMA3,,ASMA3,Astragalus macrodon
ASINM,ASMA22,ASMA22,Astragalus macrorhizus
ASMA4,,ASMA4,Astragalus magdalenae
ASMAN2,,ASMAN2,Astragalus magdalenae var. niveus
ASMAP,,ASMAP,Astragalus magdalenae var. peirsonii
ASMA5,,ASMA5,Astragalus malacoides
ASMA6,,ASMA6,Astragalus malacus
ASER4,ASMA17,ASMA17,Astragalus malheurensis
ASPI7,ASMA9,ASMA9,Astragalus marianus
ASMOM2,ASMA13,ASMA13,Astragalus matthewsii
ASME2,,ASME2,Astragalus megacarpus
ASME2,ASMEP,ASMEP,Astragalus megacarpus var. parryi
ASME13,,ASME13,Astragalus melilotoides
ASATM,ASME7,ASME7,Astragalus mensanus
ASNUN2,ASME8,ASME8,Astragalus menziesii
ASNUV,ASMEV,ASMEV,Astragalus menziesii ssp. virgatus
ASCRB,ASME9,ASME9,Astragalus mexicanus
ASCRT,ASMET,ASMET,Astragalus mexicanus var. trichocalyx
ASMI2,,ASMI2,Astragalus michauxii
