"taxon","auth","gbif","usda"
"Barbula marginata","Bruch & Schimp.","Tortula marginata",
"Tortula marginata","(Bruch & Schimp.) Spruce","Tortula marginata",
"Tortula minor","(Müll.Hal.) R.H.Zander","Tortula minor",
"Tortula minor var. elatior","(Müll.Hal.) R.H.Zander","Tortula minor var. elatior",
"Tortula minutirosula","(Müll.Hal.) Broth.","Tortula minutirosula",
"Tortula mucronifera","W.Frey, Kürschner & Ros","Tortula mucronifera",
"Barbula mucronifolia","(Schwägr.) Garov.","Tortula mucronifolia",
"Syntrichia mucronifolia","R.Br.","Tortula mucronifolia",
"Tortula mucronifolia","Schwägr.","Tortula mucronifolia","Tortula mucronifolia"
"Tortula mucronifolia var. arctica","Hook. & Grev.","Tortula mucronifolia",
"Barbula muralis","(Hedw.) Crome","Tortula muralis",
"Barbula muralis var. incana","Bruch & Schimp.","Tortula muralis",
"Barbula muralis var. rupestris","Schultz","Tortula muralis",
"Tortula muralis","Hedw.","Tortula muralis","Tortula muralis"
"Tortula muralis var. incana","(Bruch & Schimp.) Wilson","Tortula muralis",
"Tortula muralis var. rupestris","(Schultz) Chevall.","Tortula muralis",
"Tortula muricola","(Müll.Hal.) Mitt.","Tortula muralis",
"Tortula muralis ssp. muralis","","Tortula muralis ssp. muralis",
"Tortula muralis ssp. obcordata","(Schimp.) Limpr., 1888","Tortula muralis ssp. obcordata",
"Barbula muralis var. aestiva","(Brid. ex Hedw.) Röhl.","Tortula muralis var. aestiva",
"Tortula aestiva","(Brid. ex Hedw.) P.Beauv.","Tortula muralis var. aestiva",
"Tortula muralis var. aestiva","Brid. ex Hedw.","Tortula muralis var. aestiva",
"Tortula muralis var. madagascariensis","Thér.","Tortula muralis var. madagascariensis",
"Tortula muralis var. muralis","","Tortula muralis var. muralis",
"Tortula emarginata","(Dozy & Molk.) Mitt.","Tortula muralis var. obcordata",
"Tortula muralis var. obcordata","(Schimp.) Limpr.","Tortula muralis var. obcordata",
"Tortula neoeckeliae","C.Feng & J.Kou","Tortula neoeckeliae",
"Pottia nevadensis","Cardot & Thér.","Tortula nevadensis","Pottia nevadensis"
"Tortula nevadensis","(Cardot & Thér.) R.H.Zander","Tortula nevadensis",
"Tortula obscuriretis","Thér.","Tortula obscuriretis",
"Barbula manniae","Müll.Hal.","Tortula obtusifolia",
"Barbula obtusifolia","Schwägr.","Tortula obtusifolia",
"Desmatodon arenaceus","Sull. & Lesq.","Tortula obtusifolia",
"Desmatodon coloradensis","Grout","Tortula obtusifolia","Desmatodon obtusifolius"
"Desmatodon flavicans","Bruch & Schimp.","Tortula obtusifolia",
"Desmatodon obtusifolius","(Schwägr.) Schimp.","Tortula obtusifolia","Desmatodon obtusifolius"
"Tortula arenacea","(Sull. & Lesq.) Culm.","Tortula obtusifolia",
"Tortula muralis ssp. obtusifolia","(Schwägr.) Culm.","Tortula obtusifolia",
"Tortula obtusifolia","(Schwägr.) Mathieu","Tortula obtusifolia","Desmatodon obtusifolius"
"Tortula obtusifolia var. brevifolia","(Schimp.) G.Roth","Tortula obtusifolia",
"Pottia cuneifolia","Solms ex Schimp.","Tortula pallida",
"Pottia littoralis","Mitt.","Tortula pallida",
"Pottia pallida","Lindb.","Tortula pallida",
"Tortula pallida","(Lindb.) R.H.Zander","Tortula pallida",
"Tortula panduraefolia","(Müll.Hal. & Hampe) Broth.","Tortula panduraefolia",
"Tortula paulsenii","Broth.","Tortula paulsenii",
"Tortula planicosta","Herzog","Tortula planicosta",
"Desmatodon amblyophyllus","Mont.","Tortula platyphylla",
"Tortula platyphylla","Mitt.","Tortula platyphylla",
"Desmatodon neomexicanus","Sull. & Lesq.","Tortula plinthobia",
"Desmatodon plinthobius","Sull. & Lesq.","Tortula plinthobia","Desmatodon plinthobius"
"Tortula plinthobia","(Sull. & Lesq.) Broth.","Tortula plinthobia",
"Tortula podocarpi","(Müll.Hal.) Broth.","Tortula podocarpi",
"Desmatodon porteri","James","Tortula porteri","Desmatodon porteri"
"Tortula porteri","(James) Broth.","Tortula porteri",
"Mildeella bryoides","(Dicks.) Limpr.","Tortula protobryoides",
"Phascum bryoides","Dicks.","Tortula protobryoides",
"Phascum gymnostomoides","Brid.","Tortula protobryoides",
"Pottia bryoides","(Dicks.) Mitt.","Tortula protobryoides","Pottia bryoides"
"Pottia bryoides var. pilifera","(Schultz ex Nees & Hornsch.) Lindb.","Tortula protobryoides",
"Protobryum bryoides","(Dicks.) J.Guerra & M.J.Cano","Tortula protobryoides",
"Tortula bryoides","Hook.","Tortula protobryoides",
"Tortula protobryoides","R.H.Zander","Tortula protobryoides",
"Tortula pugionata","(Müll.Hal.) Broth.","Tortula pugionata",
"Tortula rallieri","Cardot","Tortula rallieri",
"Tortula raucopapillosa","(X.J.Li) R.H.Zander","Tortula raucopapillosa",
"Desmatodon recurvatus","(Hook.) Mitt.","Tortula recurvata",
"Tortula recurvata","Hook.","Tortula recurvata",
"Tortula revolutifolia","Laz.","Tortula revolutifolia",
"Barbula fiorii","Venturi","Tortula revolvens",
"Barbula revolvens","Schimp.","Tortula revolvens",
"Tortula fiorii","(Venturi) G.Roth","Tortula revolvens",
"Tortula revolvens","(Schimp.) G.Roth","Tortula revolvens",
"Tortula revolvens var. obtusata","Reimers","Tortula revolvens",
"Tortula sabinae","C.C.Towns.","Tortula sabinae",
"Tortula schimperi","M.J.Cano, O.Werner & J.Guerra","Tortula schimperi",
"Tortula subulata var. angustifolia","(Schimp. ex Milde) Wijk & Margad.","Tortula schimperi",
"Tortula perlimbata","Geh. ex Cardot","Tortula solmsii",
"Tortula santorinensis","Schiffn.","Tortula solmsii",
"Tortula solmsii","(Schimp.) Limpr.","Tortula solmsii",
"Pottia splachnoides","(Hornsch.) Broth.","Tortula splachnoides",
"Tortula splachnoides","(Hornsch.) R.H.Zander","Tortula splachnoides",
"Tortula sublimbata","(Mitt.) Broth.","Tortula sublimbata",
"Tortula subobtusifolia","Broth. ex Ihsiba","Tortula subobtusifolia",
"Tortula subtranscaspica","J.Froehl.","Tortula subtranscaspica",
"Barbula subulata","(Hedw.) P.Beauv.","Tortula subulata",
"Barbula subulata var. dentata","Boulay","Tortula subulata",
"Barbula subulata var. integrifolia","Boulay","Tortula subulata",
"Bryum subulatum","(Hedw.) With.","Tortula subulata",
"Syntrichia subulata","(Hedw.) F.Weber & D.Mohr","Tortula subulata",
"Tortula subulata","Hedw.","Tortula subulata","Tortula subulata"
"Tortula subulata var. angustata","(Schimp.) Limpr.","Tortula subulata","Tortula subulata"
"Tortula subulata var. dentata","(Boulay) De Wild.","Tortula subulata",
"Tortula subulata var. graeffii","Warnst.","Tortula subulata",
"Tortula subulata var. integrifolia","(Boulay) Brizi","Tortula subulata",
"Tortula subulata var. subinermis","(Bruch & Schimp.) Wilson","Tortula subulata",
"Desmatodon systylius","Schimp.","Tortula systylia","Desmatodon systylius"
"Tortula systylia","(Schimp.) Lindb.","Tortula systylia",
"Tortula thianschanica","Broth.","Tortula thianschanica",
"Desmatodon thomsonii","(Müll.Hal.) A.Jaeger","Tortula thomsonii",
"Tortula thomsonii","(Müll.Hal.) R.H.Zander","Tortula thomsonii",
"Tortula tonkinensis","(Besch.) R.H.Zander","Tortula tonkinensis",
"Tortula trachyphylla","Broth.","Tortula trachyphylla",
"Tortula transcaspica","Broth.","Tortula transcaspica",
"Bryum truncatulum","With.","Tortula truncata",
"Gymnostomum truncatulum","(With.) Hedw. ex Schumach.","Tortula truncata",
"Gymnostomum truncatum","Hedw.","Tortula truncata",
"Pottia physcomitrioides","Müll.Hal.","Tortula truncata",
"Pottia truncata","(Hedw.) Bruch & Schimp.","Tortula truncata","Pottia truncata"
"Pottia truncata var. truncata","","Tortula truncata",
"Pottia truncatula","(With.) Buse","Tortula truncata","Pottia truncata"
"Tortula truncata","(Hedw.) Mitt.","Tortula truncata",
"Tortula truncatula","(With.) Lindb.","Tortula truncata",
"Desmatodon ucrainicus","Laz.","Tortula ucrainica",
"Tortula ucrainica","(Laz.) R.H.Zander","Tortula ucrainica",
"Barbula pflanzii","(Broth.) Herzog","Tortula vahliana",
"Barbula pflanzii var. falcatula","Broth.","Tortula vahliana",
"Barbula vahliana","Schultz","Tortula vahliana",
"Tortula vahliana","(Schultz) Mont.","Tortula vahliana",
"Tortula vesiculosa","(Müll.Hal.) Broth.","Tortula vesiculosa",
"Pottia crinita","Wilson ex Bruch & Schimp.","Tortula viridifolia",
"Pottia mittenii var. crinita","(Wilson ex Bruch & Schimp.) Corb.","Tortula viridifolia",
"Pottia viridifolia","Mitt.","Tortula viridifolia",
"Tortula viridifolia","(Mitt.) Blockeel & A.J.E.Sm.","Tortula viridifolia",
"Tortula viridipila","Dixon & Sainsbury","Tortula viridipila",
"Tortula websteri","H.Rob.","Tortula websteri",
"Tortula wilczekii","Meyl.","Tortula wilczekii",
"Phascum drummondii","Wilson","Tortula willisiana",
"Pottia drummondii","(Wilson) J.H.Willis","Tortula willisiana",
"Tortula willisiana","R.H.Zander","Tortula willisiana",
"Tortula willisiana var. obscura","(J.H.Willis) R.H.Zander","Tortula willisiana var. obscura",
"Tortula willisiana var. willisiana","","Tortula willisiana var. willisiana",
"Pottia asperula","Mitt.","Tortula wilsonii",
"Pottia lanceolata var. angustata","(Bruch & Schimp.) Müll.Hal.","Tortula wilsonii",
"Pottia mittenii","Corb.","Tortula wilsonii",
"Pottia wilsonii","(Hook.) Bruch & Schimp.","Tortula wilsonii","Pottia wilsonii"
"Tortula wilsonii","(Hook.) R.H.Zander","Tortula wilsonii",
"Tortula yuennanensis","Chen Pan-chieh, 1941","Tortula yuennanensis",
"Trachycarpidium brisbanicum","(Müll.Hal.) I.G.Stone","Trachycarpidium brisbanicum",
"Trachycarpidium echinatum","Dixon","Trachycarpidium echinatum",
"Astomum lonchophyllum","G.Roth","Trachycarpidium lonchophyllum",
"Trachycarpidium lonchophyllum","(G.Roth) R.H.Zander","Trachycarpidium lonchophyllum",
"Trachycarpidium tisserantii","Dixon & P.de la Varde","Trachycarpidium tisserantii",
"Trachycarpidium verrucosum","(Besch.) Broth.","Trachycarpidium verrucosum",
"Trachyodontium zanderi","Steere","Trachyodontium zanderi",
"Barbula aaronis","(Lorentz) Hilp.","Trichostomopsis australasiae",
"Barbula acrophylla","Müll.Hal.","Trichostomopsis australasiae",
"Barbula australasiae","(Hook. & Grev.) Brid.","Trichostomopsis australasiae",
"Barbula decolorans","Hampe","Trichostomopsis australasiae",
"Barbula geniculata","(Mont.) Müll.Hal.","Trichostomopsis australasiae",
"Barbula graminicolor","Müll.Hal.","Trichostomopsis australasiae",
"Barbula poeppigiana","Müll.Hal.","Trichostomopsis australasiae",
"Barbula trichostomacea","Müll.Hal.","Trichostomopsis australasiae",
"Didymodon aaronis","(Lorentz) J.Guerra","Trichostomopsis australasiae",
"Didymodon australasiae","(Hook. & Grev.) R.H.Zander","Trichostomopsis australasiae","Trichostomopsis australasiae"
"Didymodon australasiae var. australasiae","","Trichostomopsis australasiae",
"Didymodon craspedophyllus","Cardot","Trichostomopsis australasiae",
"Didymodon diaphanobasis","Cardot","Trichostomopsis australasiae",
"Didymodon patentifolius","Thér.","Trichostomopsis australasiae",
"Didymodon subtophaceus","R.S.Williams","Trichostomopsis australasiae",
"Didymodon torquescens","Cardot","Trichostomopsis australasiae",
"Husnotiella torquescens","(Cardot) E.B.Bartram","Trichostomopsis australasiae","Trichostomopsis australasiae"
"Molendoa fuegiana","E.B.Bartram","Trichostomopsis australasiae",
"Tortula hellenica","Schiffn. & Baumgartner","Trichostomopsis australasiae",
"Trichostomopsis aaronis","(Lorentz) S.Agnew & C.C.Towns.","Trichostomopsis australasiae",
"Trichostomopsis australasiae","(Hook. & Grev.) H.Rob.","Trichostomopsis australasiae","Trichostomopsis australasiae"
"Trichostomopsis brevifolia","E.B.Bartram","Trichostomopsis australasiae","Trichostomopsis brevifolia"
"Trichostomopsis diaphanobasis","(Cardot) Grout","Trichostomopsis australasiae","Trichostomopsis australasiae"
"Trichostomopsis fayae","Grout","Trichostomopsis australasiae","Trichostomopsis australasiae"
"Trichostomopsis bartramii","(R.H.Zander) R.H.Zander & Brinda","Trichostomopsis bartramii",
"Didymodon challaensis","(Broth.) R.H.Zander","Trichostomopsis challaensis",
"Trichostomopsis challaensis","(Broth.) R.H.Zander","Trichostomopsis challaensis",
"Didymodon herzogii","R.H.Zander","Trichostomopsis ferruginea",
"Trichostomopsis ferruginea","(Hilp.) J.A.Jiménez & M.J.Cano","Trichostomopsis ferruginea",
"Didymodon hegewaldiorum","J.A.Jiménez & M.J.Cano","Trichostomopsis hegewaldiorum",
"Trichostomopsis hegewaldiorum","(J.A.Jiménez & M.J.Cano) J.A.Jiménez & M.J.Cano","Trichostomopsis hegewaldiorum",
"Trichostomopsis marginata","(H.Rob.) R.H.Zander","Trichostomopsis marginata",
"Didymodon paramicola","(H.Rob.) O.Werner, J.A.Jiménez & Ros","Trichostomopsis paramicola",
"Kingiobryum paramicola","H.Rob.","Trichostomopsis paramicola",
"Trichostomopsis paramicola","(H.Rob.) R.H.Zander","Trichostomopsis paramicola",
"Barbula curvipes","Müll.Hal.","Trichostomopsis umbrosa",
"Barbula umbrosa","Müll.Hal.","Trichostomopsis umbrosa",
"Didymodon australasiae var. umbrosus","(Müll.Hal.) R.H.Zander","Trichostomopsis umbrosa","Trichostomopsis australasiae"
"Didymodon trivialis","(Müll.Hal.) J.Guerra","Trichostomopsis umbrosa",
"Didymodon umbrosus","(Müll.Hal.) R.H.Zander","Trichostomopsis umbrosa","Trichostomopsis australasiae"
"Trichostomopsis crispifolia","Cardot","Trichostomopsis umbrosa","Trichostomopsis australasiae"
"Trichostomopsis trivialis","(Müll.Hal.) H.Rob.","Trichostomopsis umbrosa",
"Trichostomopsis umbrosa","(Müll.Hal.) H.Rob.","Trichostomopsis umbrosa",
"Trichostomum abyssinicum","(Thér.) R.H.Zander","Trichostomum abyssinicum",
"Trichostomum aequatoriale","Spruce ex Dixon","Trichostomum aequatoriale",
"Trichostomum apophysatulum","Herzog","Trichostomum apophysatulum",
"Trichostomum atrocaule","(K.Saito) R.H.Zander","Trichostomum atrocaule",
"Astomum austrocrispum","(Beckett) Broth.","Trichostomum austrocrispum",
"Trichostomum austrocrispum","(Beckett) R.H.Zander","Trichostomum austrocrispum",
"Weissia austrocrispa","(Beckett) I.G.Stone","Trichostomum austrocrispum",
"Trichostomum bellii","E.B.Bartram","Trichostomum bellii",
"Barbula nana","Müll.Hal.","Trichostomum brachydontium",
"Hyophila excurrentinervis","Paris & Broth.","Trichostomum brachydontium",
"Hyophila usambarica","Broth.","Trichostomum brachydontium",
"Hyophila zeyheri","(Hampe) A.Jaeger","Trichostomum brachydontium",
"Mollia brachydontia","(Bruch) Lindb.","Trichostomum brachydontium",
"Trichostomum brachydontium","Bruch","Trichostomum brachydontium","Trichostomum brachydontium"
"Trichostomum brachydontium ssp. mutabile","(Bruch ex De Not.) Giacom.","Trichostomum brachydontium",
"Trichostomum brachydontium var. esquirolii","(Thér.) P.C.Chen","Trichostomum brachydontium",
"Trichostomum mutabile","Bruch","Trichostomum brachydontium",
"Trichostomum oblongifolium","E.B.Bartram","Trichostomum brachydontium",
"Trichostomum brachydontium var. brachydontium","","Trichostomum brachydontium var. brachydontium",
"Trichostomum brachydontium var. robustum","(Renauld & Cardot) During","Trichostomum brachydontium var. robustum",
"Trichostomum mutabile var. robustum","Renauld & Cardot","Trichostomum brachydontium var. robustum",
"Trichostomum brevisetum","Thér.","Trichostomum brevisetum",
"Weissia breviseta","(Thér.) P.C.Chen","Trichostomum brevisetum",
"Hymenostomum flavescens","E.Britton","Trichostomum brittonianum",
"Trichostomum brittonianum","R.H.Zander","Trichostomum brittonianum",
"Weissia flavescens","(E.Britton) W.D.Reese","Trichostomum brittonianum",
"Trichostomum canaliculatum","Sull.","Trichostomum canaliculatum",
"Trichostomum cardotii","Bizot","Trichostomum cardotii",
"Trichostomum carinatum","E.B.Bartram","Trichostomum carinatum",
"Trichostomum castaneum","(H.A.Crum & Steere) R.H.Zander","Trichostomum castaneum",
"Trichostomum clavinerve","(Cardot & P.de la Varde) H.Whittier","Trichostomum clavinerve",
"Trichostomum compactulum","Müll.Hal.","Trichostomum compactulum",
"Trichostomum connivens","(Lindb. ex Broth.) Paris","Trichostomum connivens",
"Trichostomum contractum","R.H.Zander","Trichostomum contractum",
"Hyophila perannulata","Renauld & Cardot","Trichostomum criotum",
"Trichostomum criotum","R.H.Zander","Trichostomum criotum",
"Hyophila angustifolia","Paris & Renauld","Trichostomum crispulum",
"Mollia crispula","(Bruch) Lindb.","Trichostomum crispulum",
"Trichostomum bartramii","H.A.Mill.","Trichostomum crispulum",
"Trichostomum chlorophyllum var. brevifolium","Thér.","Trichostomum crispulum",
"Trichostomum crispulum","Bruch","Trichostomum crispulum","Trichostomum crispulum"
"Trichostomum crispulum ssp. viridulum","(Bruch) Giacom.","Trichostomum crispulum",
"Trichostomum crispulum var. angustifolium","Bruch & Schimp.","Trichostomum crispulum",
"Trichostomum crispulum var. brevifolium","Bruch & Schimp.","Trichostomum crispulum",
"Trichostomum crispulum var. cucullatum","(Cardot ex G.Roth) Podp.","Trichostomum crispulum","Trichostomum crispulum"
"Trichostomum crispulum var. elatum","Schimp.","Trichostomum crispulum",
"Trichostomum crispulum var. majus","Velen.","Trichostomum crispulum",
"Trichostomum crispulum var. nigroviride","(Braithw.) Dixon","Trichostomum crispulum",
"Trichostomum crispulum var. viridulum","(Bruch) Dixon","Trichostomum crispulum",
"Trichostomum cucullatum","Cardot","Trichostomum crispulum",
"Trichostomum involvens","Cardot","Trichostomum crispulum",
"Trichostomum mucronatulum","Cardot","Trichostomum crispulum",
"Trichostomum viridulum","Bruch","Trichostomum crispulum",
"Trichostomum crispulum var. crispulum","","Trichostomum crispulum var. crispulum",
"Trichostomum crispulum var. pseudocrispulum","B.C.Tan & Ninh","Trichostomum crispulum var. pseudocrispulum",
"Trichostomum deciduaefolium","(K.Saito) R.H.Zander","Trichostomum deciduaefolium",
"Trichostomum deciduifolium","(K.Saito) R.H.Zander","Trichostomum deciduifolium",
"Weissia deciduifolia","K.Saito","Trichostomum deciduifolium",
"Didymodon distans","(Hampe) A.Jaeger","Trichostomum distans",
"Trichostomum distans","Hampe","Trichostomum distans",
"Tortella cirrhata","Broth.","Trichostomum eckelianum",
"Trichostomum eckelianum","R.H.Zander","Trichostomum eckelianum",
"Trichostomum edentulum","Broth.","Trichostomum edentulum",
"Trichostomum elliottii","Broth. ex Dusén","Trichostomum elliottii",
"Trichostomum fallaciosum","W.H.Welch & H.A.Crum","Trichostomum fallaciosum",
"Trichostomum glauco-viride","Dusén","Trichostomum glauco-viride",
"Trichostomum gracillimum","Müll.Hal.","Trichostomum gracillimum",
"Trichostomum brachydontium ssp. cuspidatum","(Braithw.) Giacom.","Trichostomum herzogii",
"Trichostomum brachydontium var. cuspidatum","(Braithw.) L.I.Savicz","Trichostomum herzogii",
"Trichostomum herzogii","Ros, O.Werner & R.D.Porley","Trichostomum herzogii",
"Trichostomum mutabile var. cuspidatum","(Braithw.) Limpr.","Trichostomum herzogii",
"Trichostomum hondurense","B.H.Allen","Trichostomum hondurense",
"Trichostomum imshaugii","(Vitt) R.H.Zander","Trichostomum imshaugii",
"Trichostomum incertum","(Mitt.) R.H.Zander","Trichostomum incertum",
"Didymodon insularis","Besch.","Trichostomum insulare",
"Trichostomum insulare","(Besch.) Broth.","Trichostomum insulare",
"Trichostomum involutum","Sull.","Trichostomum involutum",
"Trichostomum julaceum","Dusén","Trichostomum julaceum",
"Trichostomum khasianum","(Mitt.) Broth.","Trichostomum khasianum",
"Trichostomum lambii","E.B.Bartram","Trichostomum lambii",
"Trichostomum lanuginosum","(Hedw.) Brid., 1801","Trichostomum lanuginosum",
"Trichostomum laticostatum","Thér.","Trichostomum laticostatum",
"Hyophila ligulaefolia","Broth. & Paris","Trichostomum ligulaefolium",
"Trichostomum ligulaefolium","(Broth. & Paris) R.H.Zander","Trichostomum ligulaefolium",
